,Unnamed: 0,userName,score,at,content,sentiment_label,lower_content,clean_content,tokenized,stemmed,removed_stopwords,replace_slang,final
0,0,Garda Yodi,1,2024-02-29 05:58:52,"Datanya tidak terintergrasi, percuma daftar skck online kalau harus tetap ngeprint dokumen. Sama aja kaya daftar manual.",0,"datanya tidak terintergrasi, percuma daftar skck online kalau harus tetap ngeprint dokumen. sama aja kaya daftar manual.",datanya tidak terintergrasi  percuma daftar skck online kalau harus tetap ngeprint dokumen  sama aja kaya daftar manual ,"['datanya', 'tidak', 'terintergrasi', 'percuma', 'daftar', 'skck', 'online', 'kalau', 'harus', 'tetap', 'ngeprint', 'dokumen', 'sama', 'aja', 'kaya', 'daftar', 'manual']","['data', 'tidak', 'terintergrasi', 'percuma', 'daftar', 'skck', 'online', 'kalau', 'harus', 'tetap', 'ngeprint', 'dokumen', 'sama', 'aja', 'kaya', 'daftar', 'manual']","['data', 'tidak', 'terintergrasi', 'daftar', 'online', 'ngeprint', 'dokumen', 'aja', 'kaya', 'daftar', 'manual']","['data', 'tidak', 'terintergrasi', 'daftar', 'online', 'ngeprint', 'dokumen', 'saja', 'seperti', 'daftar', 'manual']",data tidak terintergrasi daftar online ngeprint dokumen saja seperti daftar manual
1,1,Kha Damfi,1,2024-02-29 05:55:56,aplikasi keren gaada guna nyaaa,0,aplikasi keren gaada guna nyaaa,aplikasi keren gaada guna nyaaa,"['aplikasi', 'keren', 'gaada', 'guna', 'nyaaa']","['aplikasi', 'keren', 'gaada', 'guna', 'nyaaa']","['aplikasi', 'keren', 'gaada']","['aplikasi', 'keren', 'tidak', 'ada']",aplikasi keren tidak ada
2,2,"Novery Suvandi,S.h",5,2024-02-29 05:44:28,Ok dan sangat membantu maju berjaya terus Polri,1,ok dan sangat membantu maju berjaya terus polri,ok dan sangat membantu maju berjaya terus polri,"['ok', 'dan', 'sangat', 'membantu', 'maju', 'berjaya', 'terus', 'polri']","['ok', 'dan', 'sangat', 'bantu', 'maju', 'jaya', 'terus', 'polri']","['ok', 'bantu', 'maju', 'jaya']","['oke', 'bantu', 'maju', 'jaya']",oke bantu maju jaya
3,3,Wiwit wijayanto,2,2024-02-29 04:57:47,Saya sudah tf untuk pembuatan sim trus dari aplikasinya ditolak padahal sudah saya tf semua tapi uang saya g bisa dikembalikan jangan nipu gini cvk,0,saya sudah tf untuk pembuatan sim trus dari aplikasinya ditolak padahal sudah saya tf semua tapi uang saya g bisa dikembalikan jangan nipu gini cvk,saya sudah tf untuk pembuatan sim trus dari aplikasinya ditolak padahal sudah saya tf semua tapi uang saya g bisa dikembalikan jangan nipu gini cvk,"['saya', 'sudah', 'tf', 'untuk', 'pembuatan', 'sim', 'trus', 'dari', 'aplikasinya', 'ditolak', 'padahal', 'sudah', 'saya', 'tf', 'semua', 'tapi', 'uang', 'saya', 'g', 'bisa', 'dikembalikan', 'jangan', 'nipu', 'gini', 'cvk']","['saya', 'sudah', 'tf', 'untuk', 'buat', 'sim', 'trus', 'dari', 'aplikasi', 'tolak', 'padahal', 'sudah', 'saya', 'tf', 'semua', 'tapi', 'uang', 'saya', 'g', 'bisa', 'kembali', 'jangan', 'nipu', 'gini', 'cvk']","['tf', 'trus', 'aplikasi', 'tolak', 'tf', 'uang', 'g', 'nipu', 'gini']","['tf', 'terus', 'aplikasi', 'tolak', 'tf', 'uang', 'tidak', 'nipu', 'gini']",tf terus aplikasi tolak tf uang tidak nipu gini
4,4,Tia Wati,1,2024-02-29 04:29:52,"Udah dateng ke polres buat bikin skck malah disuruh daftar secara online, udah daftar secara online aplikasinya error terus gabisa bayar, terus saya harus gimana? Tolong lah orang lagi berusaha jangan malah dipersulit, pelayanan public yg sangat sangat sangat tidak memuaskan bahkan merugikan!",0,"udah dateng ke polres buat bikin skck malah disuruh daftar secara online, udah daftar secara online aplikasinya error terus gabisa bayar, terus saya harus gimana? tolong lah orang lagi berusaha jangan malah dipersulit, pelayanan public yg sangat sangat sangat tidak memuaskan bahkan merugikan!",udah dateng ke polres buat bikin skck malah disuruh daftar secara online  udah daftar secara online aplikasinya error terus gabisa bayar  terus saya harus gimana  tolong lah orang lagi berusaha jangan malah dipersulit  pelayanan public yg sangat sangat sangat tidak memuaskan bahkan merugikan ,"['udah', 'dateng', 'ke', 'polres', 'buat', 'bikin', 'skck', 'malah', 'disuruh', 'daftar', 'secara', 'online', 'udah', 'daftar', 'secara', 'online', 'aplikasinya', 'error', 'terus', 'gabisa', 'bayar', 'terus', 'saya', 'harus', 'gimana', 'tolong', 'lah', 'orang', 'lagi', 'berusaha', 'jangan', 'malah', 'dipersulit', 'pelayanan', 'public', 'yg', 'sangat', 'sangat', 'sangat', 'tidak', 'memuaskan', 'bahkan', 'merugikan']","['udah', 'dateng', 'ke', 'polres', 'buat', 'bikin', 'skck', 'malah', 'suruh', 'daftar', 'cara', 'online', 'udah', 'daftar', 'cara', 'online', 'aplikasi', 'error', 'terus', 'gabisa', 'bayar', 'terus', 'saya', 'harus', 'gimana', 'tolong', 'lah', 'orang', 'lagi', 'usaha', 'jangan', 'malah', 'sulit', 'layan', 'public', 'yg', 'sangat', 'sangat', 'sangat', 'tidak', 'muas', 'bahkan', 'rugi']","['udah', 'dateng', 'bikin', 'suruh', 'daftar', 'online', 'udah', 'daftar', 'online', 'aplikasi', 'error', 'gabisa', 'bayar', 'gimana', 'tolong', 'orang', 'usaha', 'sulit', 'layan', 'public', 'yg', 'tidak', 'muas', 'rugi']","['sudah', 'datang', 'bikin', 'suruh', 'daftar', 'online', 'sudah', 'daftar', 'online', 'aplikasi', 'gangguan', 'tidak', 'bisa', 'bayar', 'bagaimana', 'tolong', 'orang', 'usaha', 'sulit', 'layan', 'public', 'yang', 'tidak', 'muas', 'rugi']",sudah datang bikin suruh daftar online sudah daftar online aplikasi gangguan tidak bisa bayar bagaimana tolong orang usaha sulit layan public yang tidak muas rugi
5,5,Ahmad Rofiki,1,2024-02-29 04:25:47,cacatttt,0,cacatttt,cacatttt,['cacatttt'],['cacatttt'],['cacatttt'],['jelek'],jelek
6,6,Dani Ramdani,1,2024-02-29 03:14:37,"Iya nih, aplikasi belum sempurna",0,"iya nih, aplikasi belum sempurna",iya nih  aplikasi belum sempurna,"['iya', 'nih', 'aplikasi', 'belum', 'sempurna']","['iya', 'nih', 'aplikasi', 'belum', 'sempurna']","['iya', 'aplikasi', 'sempurna']","['iya', 'aplikasi', 'sempurna']",iya aplikasi sempurna
7,7,Tono aje,2,2024-02-29 02:21:31,Gak semu polres bisa udah terlanjur bayar harus ke polda pusat di kota gak bisa,0,gak semu polres bisa udah terlanjur bayar harus ke polda pusat di kota gak bisa,gak semu polres bisa udah terlanjur bayar harus ke polda pusat di kota gak bisa,"['gak', 'semu', 'polres', 'bisa', 'udah', 'terlanjur', 'bayar', 'harus', 'ke', 'polda', 'pusat', 'di', 'kota', 'gak', 'bisa']","['gak', 'semu', 'polres', 'bisa', 'udah', 'lanjur', 'bayar', 'harus', 'ke', 'polda', 'pusat', 'di', 'kota', 'gak', 'bisa']","['gak', 'semu', 'udah', 'lanjur', 'bayar', 'pusat', 'gak']","['tidak', 'semu', 'sudah', 'lanjur', 'bayar', 'pusat', 'tidak']",tidak semu sudah lanjur bayar pusat tidak
8,8,Praise Damai,3,2024-02-28 17:45:03,"Kelemahan aplikasi ini ketika saya mengurus SKCK Online adalah adanya bug yang muncul. Seharusnya juga bisa simpan sementara sehingga data yang sudah di-entry tidak hilang ketika proses pengisian belum selesai. Dan tolong dipermudah prosesnya ketika alamat domisili berbeda dengan alamat KTP. Masak harus mengambil SKCK nya ke Polres berdasar alamat KTP, memang apa susahnya untuk pengambilan bisa di Polres berdasarkan alamat domisili. Semoga semangat ke depannya adalah mempermudah publik.",0,"kelemahan aplikasi ini ketika saya mengurus skck online adalah adanya bug yang muncul. seharusnya juga bisa simpan sementara sehingga data yang sudah di-entry tidak hilang ketika proses pengisian belum selesai. dan tolong dipermudah prosesnya ketika alamat domisili berbeda dengan alamat ktp. masak harus mengambil skck nya ke polres berdasar alamat ktp, memang apa susahnya untuk pengambilan bisa di polres berdasarkan alamat domisili. semoga semangat ke depannya adalah mempermudah publik.",kelemahan aplikasi ini ketika saya mengurus skck online adalah adanya bug yang muncul  seharusnya juga bisa simpan sementara sehingga data yang sudah di entry tidak hilang ketika proses pengisian belum selesai  dan tolong dipermudah prosesnya ketika alamat domisili berbeda dengan alamat ktp  masak harus mengambil skck nya ke polres berdasar alamat ktp  memang apa susahnya untuk pengambilan bisa di polres berdasarkan alamat domisili  semoga semangat ke depannya adalah mempermudah publik ,"['kelemahan', 'aplikasi', 'ini', 'ketika', 'saya', 'mengurus', 'skck', 'online', 'adalah', 'adanya', 'bug', 'yang', 'muncul', 'seharusnya', 'juga', 'bisa', 'simpan', 'sementara', 'sehingga', 'data', 'yang', 'sudah', 'di', 'entry', 'tidak', 'hilang', 'ketika', 'proses', 'pengisian', 'belum', 'selesai', 'dan', 'tolong', 'dipermudah', 'prosesnya', 'ketika', 'alamat', 'domisili', 'berbeda', 'dengan', 'alamat', 'ktp', 'masak', 'harus', 'mengambil', 'skck', 'nya', 'ke', 'polres', 'berdasar', 'alamat', 'ktp', 'memang', 'apa', 'susahnya', 'untuk', 'pengambilan', 'bisa', 'di', 'polres', 'berdasarkan', 'alamat', 'domisili', 'semoga', 'semangat', 'ke', 'depannya', 'adalah', 'mempermudah', 'publik']","['lemah', 'aplikasi', 'ini', 'ketika', 'saya', 'urus', 'skck', 'online', 'adalah', 'ada', 'bug', 'yang', 'muncul', 'harus', 'juga', 'bisa', 'simpan', 'sementara', 'sehingga', 'data', 'yang', 'sudah', 'di', 'entry', 'tidak', 'hilang', 'ketika', 'proses', 'isi', 'belum', 'selesai', 'dan', 'tolong', 'mudah', 'proses', 'ketika', 'alamat', 'domisili', 'beda', 'dengan', 'alamat', 'ktp', 'masak', 'harus', 'ambil', 'skck', 'nya', 'ke', 'polres', 'dasar', 'alamat', 'ktp', 'memang', 'apa', 'susah', 'untuk', 'ambil', 'bisa', 'di', 'polres', 'dasar', 'alamat', 'domisili', 'moga', 'semangat', 'ke', 'depan', 'adalah', 'mudah', 'publik']","['lemah', 'aplikasi', 'urus', 'online', 'bug', 'muncul', 'simpan', 'data', 'entry', 'tidak', 'hilang', 'proses', 'isi', 'selesai', 'tolong', 'mudah', 'proses', 'alamat', 'domisili', 'beda', 'alamat', 'masak', 'ambil', 'dasar', 'alamat', 'susah', 'ambil', 'dasar', 'alamat', 'domisili', 'moga', 'semangat', 'mudah', 'publik']","['lemah', 'aplikasi', 'urus', 'online', 'gangguan', 'muncul', 'simpan', 'data', 'entry', 'tidak', 'hilang', 'proses', 'isi', 'selesai', 'tolong', 'mudah', 'proses', 'alamat', 'domisili', 'beda', 'alamat', 'masak', 'ambil', 'dasar', 'alamat', 'sulit', 'ambil', 'dasar', 'alamat', 'domisili', 'moga', 'semangat', 'mudah', 'publik']",lemah aplikasi urus online gangguan muncul simpan data entry tidak hilang proses isi selesai tolong mudah proses alamat domisili beda alamat masak ambil dasar alamat sulit ambil dasar alamat domisili moga semangat mudah publik
9,9,Muhammad Hartawan,1,2024-02-28 16:43:55,team IT pecat aja ga bener bikin aplikasi..,0,team it pecat aja ga bener bikin aplikasi..,team it pecat aja ga bener bikin aplikasi  ,"['team', 'it', 'pecat', 'aja', 'ga', 'bener', 'bikin', 'aplikasi']","['team', 'it', 'pecat', 'aja', 'ga', 'bener', 'bikin', 'aplikasi']","['team', 'pecat', 'aja', 'ga', 'bener', 'bikin', 'aplikasi']","['team', 'pecat', 'saja', 'tidak', 'benar', 'bikin', 'aplikasi']",team pecat saja tidak benar bikin aplikasi
