,userName,score,at,content
0,Garda Yodi,1,2024-02-29 05:58:52,"Datanya tidak terintergrasi, percuma daftar skck online kalau harus tetap ngeprint dokumen. Sama aja kaya daftar manual."
1,Kha Damfi,1,2024-02-29 05:55:56,aplikasi keren gaada guna nyaaa
2,"Novery Suvandi,S.h",5,2024-02-29 05:44:28,Ok dan sangat membantu maju berjaya terus Polri
3,Wiwit wijayanto,2,2024-02-29 04:57:47,Saya sudah tf untuk pembuatan sim trus dari aplikasinya ditolak padahal sudah saya tf semua tapi uang saya g bisa dikembalikan jangan nipu gini cvk
4,Tia Wati,1,2024-02-29 04:29:52,"Udah dateng ke polres buat bikin skck malah disuruh daftar secara online, udah daftar secara online aplikasinya error terus gabisa bayar, terus saya harus gimana? Tolong lah orang lagi berusaha jangan malah dipersulit, pelayanan public yg sangat sangat sangat tidak memuaskan bahkan merugikan!"
5,Ahmad Rofiki,1,2024-02-29 04:25:47,cacatttt
6,Dani Ramdani,1,2024-02-29 03:14:37,"Iya nih, aplikasi belum sempurna"
7,Tono aje,2,2024-02-29 02:21:31,Gak semu polres bisa udah terlanjur bayar harus ke polda pusat di kota gak bisa
8,Praise Damai,3,2024-02-28 17:45:03,"Kelemahan aplikasi ini ketika saya mengurus SKCK Online adalah adanya bug yang muncul. Seharusnya juga bisa simpan sementara sehingga data yang sudah di-entry tidak hilang ketika proses pengisian belum selesai. Dan tolong dipermudah prosesnya ketika alamat domisili berbeda dengan alamat KTP. Masak harus mengambil SKCK nya ke Polres berdasar alamat KTP, memang apa susahnya untuk pengambilan bisa di Polres berdasarkan alamat domisili. Semoga semangat ke depannya adalah mempermudah publik."
9,Muhammad Hartawan,1,2024-02-28 16:43:55,team IT pecat aja ga bener bikin aplikasi..
10,Edwin zurin faisal Faisal,1,2024-02-28 15:28:21,"Ini veryfikasinya bisa ga sih pake no wa ? Jgn email aja,masak kirim kode veryf ke email 30x ga ad masuk ? Sampe bolak balik cek alamat email takut salah ,mending buka skck onlinr website aja lagi kalo via app ga jelas kek gini"
11,Diki Candra,1,2024-02-28 13:27:15,Apk negara kok eror trus 🔥
12,vicky kamasi,5,2024-02-28 13:26:46,Pesan verifikasi email ada di spam biasanya
13,Muhammad Nawawil Zani,1,2024-02-28 12:52:05,"Gabisa Login karena susah dapet kode verifikasinya lewat email,, harusnya tambah opsi"
14,Tri Setiawan,1,2024-02-28 12:23:03,"Mhon maaf, mau kritik buat kebaikan, bkan menjelekan🙏 Kalo emang niat bkin aplikasi, mesti lebih dimatengin, tim IT mesti lebih pro. Kalo blum siap, gausah publish dlu, mending testing dlu di instansi sendiri ato rekanan. Msak iya skelas intansi pemerintah POLRI bkin apk buat publik kayak remehtemeh gini, tim IT masak iya gaada quality test. Utk tim IT mesti bnyak blajar lagi yah & juga dari instansi POLRI mhon tdk buru2 publish hanya utk ikut2an jaman digital kalo SDM IT blum siap. Semangat 👍"
15,Jhon Andreas,1,2024-02-28 12:14:49,Jelek seperti pada umumnya yang berkaitan dengan polisi full duit
16,Angga Saputra,1,2024-02-28 11:39:05,"Konyol, kode otp ga muncul muncul gimana mau login kalau kayak gini??"
17,Yafeke Apresia Karisma,5,2024-02-28 11:38:49,"cukup membantu, hanya perlu lebih di perbaiki lagi sistem nya karena lelet sekali dan di perlengkap fiturnya"
18,rokki simanjorang,1,2024-02-28 07:48:09,"Gk bisa daftar,"
19,Risna Hapsari,1,2024-02-28 07:33:26,"Saat buat skck untuk kolom keperluan pengajuan tertera keterangan ""layanan tidak tersedia"""
20,Ranti Ka,2,2024-02-28 05:17:16,Gmna mau dftr kalau verifikasi email aja ga masuk² udh d coba ulang ttep aja gk ada yg masuk
21,Ubai,1,2024-02-28 04:46:58,"Untuk kurir tlng di tambah.karena pengiriman tidak sampe rumah.padahal klo pake aplikasi Korlantas polri, perpanjang STNK bisa diantar sampe dpn rmh.tlng jngn di persulit.jngn cuma berusaha,segera perbaiki dong aplikasinya."
22,Sugeng Andi saputra,3,2024-02-28 04:10:25,masih enakan pakai polri super app apa digital korlantas ya?
23,Anton sujarwo,1,2024-02-28 03:59:52,"Baru daftar aja gak bisa gimana mau pakai? Giliran dateng langsung ke polri kata suruh pakai app, kan saya galau jadinya"
24,99%,5,2024-02-28 03:22:27,Oke.
25,Mohammad Aji Surya Mahardika,1,2024-02-28 03:14:31,Banyak bug salah 1 di lupa password
26,Rizki Alan Fauzi,1,2024-02-28 02:14:43,Verifikasi sulit suruh foto KTP fokusnya hancur developer appnya bego
27,arman Taher,1,2024-02-28 01:29:34,Gk ada gunanya.verifikasi email aja bertele tele.kerja kalian apa?
28,BURUH ALAM,1,2024-02-27 17:13:35,Saya Tidak Mendapatkan Kode Verifikasi.. tidak Ada Kode Yang Masuk Ke E-mail saya. Sudah Coba Beberapa Kali Tidak Verifikasi
29,Muhammad Haryono,5,2024-02-27 16:39:48,Good dan Sangat membantu
30,STBW /EBC,1,2024-02-27 09:57:43,Saya mau konsultasi tentang... Mau tanya kalau legalisir SKCK bisa selesai sehari tidak bu/pak kalau di polres? Terus saya mau kasih rating kecil KARENA SAYA TIDAK BISA DAFTAR LEGALISIR DARI APLIKASI... TOLONG DI ADAKAN TOMBOL LEGALISIR SKCK🙏💕TERIMAKASIH
31,Hai Gum,1,2024-02-27 08:58:58,"ADMIN TIDAK ADA RESPON SAMA SEKALI, BIKIN APLIKASI CUMA NGAMBIL UNTUNG DOANG BIAR DIBAYAR NEGARA ABIS ITU MANGKRAK!!! KORUPSI BERKEDOK APLIKASI"
32,Muhamad Wildannur,1,2024-02-27 06:59:34,"Pas ngurus dipolsek harus download Aplikasi tapi malah jadi buang waktu k karna cuman mempersulit bukan mempermudah, sangat lemot dan eror aplikasi nya akhirnya ngurus manual juga di polres dan lebih mudah serta menghemat waktu"
33,Joko Sri Hartono,1,2024-02-27 06:49:33,Aplikasi masih belum siap error banyak bug mohon segera di perbaiki
34,MUMU 13,1,2024-02-27 06:30:26,"Aplikasi busukk ,, belom siap edarrr,, kode verifikasi gak masuk masuk,, udah ganti ganti emailpun sama tetap. Gak dapet kode verifikasi"
35,Sidik “Kidzib” Setyajati,1,2024-02-27 06:17:37,"Pengurusan sdh online, pd akhirnya hrs dtg ke polres bawa berkas. Ga bisa pengiriman jg..."
36,Niatman Aperli Gea,1,2024-02-27 06:11:44,"NIK saya tidak ditemukan, bagaimana ni Solusinya, saya coba berulang ulang tidak bisa"
37,Fadholi Ashrovic,3,2024-02-27 06:05:20,Ini tolong diperbaiki lagi untuk aplikasinya saya mau buat akun untuk memperpanjang skck kagak bisa terverifikasi padahal saya mengisi datanya sudah sangat jelas
38,Yusdiv,1,2024-02-27 05:58:47,"APK NYA JELEK,, JAUH. DARI KATA SEMPURNA"
39,Bahtiar Hasan,1,2024-02-27 05:56:19,Parah ga bisa di gunakan
40,Muhamad Ruslan,1,2024-02-27 05:34:00,"Aplikasi rusak malah menyulitkan bukan mempermudah, pengguna baru tidak bisa daftar karena tidak ada kode Verifikasi email udh di coba berkali kali tapi tetep aja ga ada, PAYAH!"
41,Palupi Handayani,1,2024-02-27 05:19:05,"Baru mau daftar, keterangannya Nomor identitas KTP anda sudah terdaftar, ngeri"
42,difa pratama,1,2024-02-27 05:17:08,Gabisa bikin akun
43,Ahmad Muzaky,1,2024-02-27 04:52:52,Gk jlas ngisi data kok NIK nya gk di temukan... Anehhhhhh
44,Merlyana Wijayanti,1,2024-02-27 03:08:20,"invalid terus, padahal data sudah benar."
45,Yudi Cahyono,3,2024-02-27 02:07:58,"Maaf untuk mau daftar akun itu tidak bisa tidak ada code verifikasi ke emailnya, mungkin ada program atau script yg salah. Terimakasih"
46,Raka Lesmana,1,2024-02-27 01:25:54,Kenapa pada saat verifikasi no nik nya tidak ditemukan?.. Bisa tolong dibantu🙏
47,Resa Nur Laili,1,2024-02-27 01:00:43,Tidak bisa kirim verifikasi email susahh
48,Aan Siregarrr,1,2024-02-27 00:48:35,Mau daftar.. tapi..Verifikasi kode ga keluar².. gimana dah hadaaaa
49,Susi Yanah,1,2024-02-27 00:33:22,"Aplikasi kgk jelas ,susah banvet verif sudha 3 hari ini kgk bisa verifikasi"
50,OSAMA ABDALILLAH X MIPA 1,1,2024-02-27 00:04:56,"gabisa daftar udh coba ganti email tetep ga ada kode verifikasi yg muncul satu pun di email saya, padahal mau buat skck tapi gabisa login di aplikasi ya percuma datang ke polres soalnya hrs daftar online dlu"
51,Winar Ni,1,2024-02-26 16:07:31,"Kode verifikasi gak ada di kirim lewat email , menyusahkan sekali aplikasi nya gak bekerja"
52,Dendy irwan,1,2024-02-26 12:22:32,Apk busuk... Punya negara kok jelek....
53,Fahri Kun,1,2024-02-26 10:51:09,Tidak bisa verifikasi email
54,Afifah Fathin,1,2024-02-26 10:26:37,Payah ni aplikasi bikin emosi aja
55,Alviyah 54,1,2024-02-26 09:17:13,"Ini yang bikin apk siapa dah? Kok kualitas nya buruk gini suruh verifikasi email tapi nga muncul kode nya anehh banget, perbaiki lagi dong, bukan mempermudah malah mempersulit ngaguna aplikasi nya"
56,Petra Ginting Manik,5,2024-02-26 08:51:58,Mempermudah sekalipun dengan berbagai persyaratan
57,Syadullah Effendy,1,2024-02-26 07:42:59,"Aplikasi PAYAH,Tidak bisa login karena katanya email tertaut akun lain/no hp belum verifikasi... Padahal kemarin baik2 saja email aman buat login.. no hp jg aman"
58,Awaludin Efendi,3,2024-02-26 06:20:36,"aplikasi super app ini sudah lumayan baik, karena mungkin hampir mencakup semua layanan polri. minusnya hanya saat pelayanan dilokasi polsek sama saja seperti orang yg datang langsung tanpa dari aplikasi. contoh: saya buat SKCK sudah isi data dari Apps dan di lokasi tetap harus bawa dokumen hardcopy dan isi data yg sudah pernah isi di aplikasi. harusnya yg sudah via apps bisa di permudah pengguna. semoga bisa di perbaiki lagii pelayanannya👍"
59,Suyanti Indramayu,1,2024-02-26 05:58:41,"Aplikasi jelek ngga bisa verifikasi, kode verifikasi ngga dikirim2"
60,Fawwaz Syahfardan,2,2024-02-26 05:30:42,Gabisa login/registrasi ..
61,febriantix,1,2024-02-26 05:24:10,aplikasinya jelek error terus tiap ngisi data balik ke awal lagi. kalo mau bikin pelayanan online pastikan dulu aplikasinya sudah bagus atau belum
62,the1nonly,1,2024-02-26 05:14:33,"gadapet verifikasi email, udah nyoba beberapa email juga tetep ga masuk, pusinggg"
63,Rizal Arfial,1,2024-02-26 04:42:56,Maaf pak.. B1 dl ya... Cz masukin data KTP gagal mulu.
64,Siska Nurraiska,1,2024-02-26 03:37:39,Kaka kenapa gak bisa transaksi.. mohon bantuannya sedang di butuhkan sekali
65,Mulyana Yana,1,2024-02-26 03:21:34,Minim sekali untuk di akses verifikasi no engga muncul di email pribadi
66,m ramdan,5,2024-02-26 03:20:30,"Halo Pak/Ibu saya mau buat SKCK online sudah melakukan pembayaran tapi hingga saat ini statusnya ""menunggu pembayaran"", sudah mencoba menghubungi admin tapi nunggu setengah jam lebih g ada admin yg terhubung, solusinya bagaimana? Terimakasih"
67,Putri Temu,1,2024-02-26 02:56:50,"No respon susah, lama,"
68,Fadel Hafiz,1,2024-02-26 02:46:40,"regis skck tpi baru ke approve 3 hari, minimal klo belom layak pakai jgn launching dlu, sempurnakan dahulu ktimbang banyak kendala"
69,Pandu Wiguno,1,2024-02-26 02:30:38,Untuk kirim kode OTP saja sampai sekarang blm bisa
70,zaenal wibowo,1,2024-02-26 02:13:09,"kirain untuk mempermudah ternyata regist aja gak bisa, pat puluh kali minta kode verif gak ada sama sekali 🙃"
71,teguh Manuel,1,2024-02-26 02:00:30,Sama sperti aparat negara Slalu menerap kan birokrasi yang rumit Dan mempersulit Tetapi slalu minta sifat koperatif pada rakyat nya
72,Sri Yusni,1,2024-02-26 01:54:53,Aplikasi cacat
73,Lucy77,1,2024-02-26 01:41:57,"Ini kenapa malah gabisa daftar akunn?? Pdhl email dan nomor HP sudah bener, jaringan juga udah bagusss tp malah gabisa daftar akunn, tolong segera diperbaikiii"
74,Prince Yadhi Purnama Official,3,2024-02-26 01:41:06,Semoga SKCK bisa diganti bagian tanda tangan jadi TTE agar tidak perlu legalisir lagi dan gak menambah biaya-biaya lainnya.....
75,Kiky Kurniawan,1,2024-02-26 01:39:11,Pak ko ini susah banget si untuk login ya..minta verikasi kode ya ga di kirim2 bagaimana mau bikin skck ni sedangkan bikin ya harus online tapi untuk login ya susah kalo model seperti ini menyusahkan masyarakat bukan membantu masyarakat
76,Hendy Ardianta,1,2024-02-26 01:30:50,Verifikasi email nya ga masuk2. Udh di coba beberapa kali.. Belum apa2 udh eror gini
77,Fadil Muhammad Basri,1,2024-02-26 01:06:55,Buruk.
78,doni radianto,1,2024-02-25 21:46:58,Sudah 3 hari daftar akun nggak di kirim kirim kode verifikasi
79,Gbrn Jim,1,2024-02-25 15:35:25,"Ini mau bikin SKCK gagal terus udah berhari-hari, disuruh hubungin admin. Admin mana ya yang dimaksud?"
80,Lisa Dwiastuti,1,2024-02-25 15:20:11,masukin email aja gabisa
81,Yusuf Rachmat,1,2024-02-25 13:59:18,Aplikasi belum matang udah dilempar ke publik
82,Tyas Maylinda,1,2024-02-25 11:49:54,CS NYA GA BANTU SAMSEK
83,Agung Aprillian Akbari,1,2024-02-25 11:15:28,"Kata pak polisi urusan lewat online aja, ternyata di download aplikasinya login aja gak bisa"
84,OP OPM,1,2024-02-25 10:32:22,"Aplikasi Sampah verifikasi gda nonggol di ulang2 ganti email tetep gda, nyusahin aja masyarakat"
85,Gianita Pratiwi,1,2024-02-25 09:05:39,"Aplikasinya tidak bisa di gunakan, mau mendaftar tapi tidak bisa mendapatkan verifikasi sudah minta kirim ulang berkali² pun tidak ada kode verifikasi terkirim, sungguh disayangkan"
86,Aldii R,1,2024-02-25 08:06:56,Tidak menerima verifikasi email.
87,bayu rachmat,1,2024-02-25 07:50:25,"Masih jauh dari harapan, kode verifikasi ga muncul muncul, jadi percuma mau daftar online juga. Tetep harus datang langsung ke lokasi"
88,Maheswara Akhlis,1,2024-02-25 07:11:06,"Aplikasi sangat lama, kode verifikasi tidak muncul2, kalo begini bagaimana mau buat skck? Aplikasinya saja tidak mendukung"
89,Ferry Dwi.p (Gpenk),1,2024-02-25 06:20:26,Sepertinya ini belum niat untuk buat aplikasi.
